,hourly_dayahead_dol_per_kwh,realtime_production_kwh,realtime_supplied_kwh,solar_production_kwh,electrolyser_consumption_kwh,compressor_consumption_kwh,liquefaction_consumption_kwh,electrolyser_produced_kg,compressor_produced_kg,liquefaction_produced_kg,compress_to_liquefaction,fuel_cell_consumed_kg,gh2_storage_level_kg,gh2_storage_net_inflow,gh2_storge_inflow_kg,gh2_storage_outflow_kg
453,0.03561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
454,0.032369999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
455,0.02894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
456,0.02523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
457,0.02582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
458,0.023780000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
459,0.02376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
460,0.02467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983734030986886,0.0,0.0,0.0
461,0.02565,2.689832177895571,0.0,0.0,0.0,0.0,2.689832177895571,0.0,0.0,0.26898321778955714,0.0,0.0,5.983734030986886,-0.26898321778955714,0.0,0.26898321778955714
462,0.04,5.379664355791142,0.0,0.0,0.0,0.0,5.379664355791142,0.0,0.0,0.5379664355791143,0.0,0.0,5.714750813197329,-0.5379664355791143,0.0,0.5379664355791143
463,0.04513,0.0,0.0,47.11211778029445,36.395663873956366,2.646957372651372,8.069496533686713,0.661739343162843,0.661739343162843,0.8069496533686714,0.0,0.0,5.1767843776182145,-0.14521031020582842,0.661739343162843,0.8069496533686714
464,0.05063,0.0,0.0,108.2954452852981,90.92349850092153,6.612618072794293,10.759328711582285,1.6531545181985732,1.6531545181985732,1.0759328711582286,1.0759328711582286,0.0,5.031574067412386,0.5772216470403446,0.5772216470403446,0.0
465,0.03744,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,0.0,0.0,5.6087957144527305,0.3082384292507876,1.6531545181985732,1.3449160889477856
466,0.0294,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,0.0,0.0,5.917034143703518,0.3082384292507876,1.6531545181985732,1.3449160889477856
467,0.02708,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,0.0,0.0,6.225272572954305,0.3082384292507876,1.6531545181985732,1.3449160889477856
468,0.02572,0.0,0.0,110.98527746319367,90.92349850092153,6.612618072794293,13.449160889477856,1.6531545181985732,1.6531545181985732,1.3449160889477856,1.3449160889477856,0.0,6.533511002205093,0.30823842925078804,0.30823842925078804,0.0
