Date,price,zone
1/1/2019 5:00:00 PM,31.330000,LZ_NORTH
1/1/2019 5:00:00 PM,31.330000,LZ_RAYBN
1/1/2019 5:00:00 PM,29.660000,LZ_SOUTH
1/1/2019 5:00:00 PM,51.450000,LZ_WEST
1/1/2019 6:00:00 PM,34.500000,LZ_AEN
1/1/2019 6:00:00 PM,33.370000,LZ_CPS
1/1/2019 6:00:00 PM,34.060000,LZ_HOUSTON
1/1/2019 6:00:00 PM,33.880000,LZ_LCRA
1/1/2019 6:00:00 PM,35.490000,LZ_NORTH
1/1/2019 6:00:00 PM,35.520000,LZ_RAYBN
1/1/2019 6:00:00 PM,34.040000,LZ_SOUTH
1/1/2019 6:00:00 PM,63.200000,LZ_WEST
1/1/2019 7:00:00 PM,30.060000,LZ_AEN
1/1/2019 7:00:00 PM,28.930000,LZ_CPS
1/1/2019 7:00:00 PM,29.400000,LZ_HOUSTON
1/1/2019 7:00:00 PM,29.260000,LZ_LCRA
1/1/2019 7:00:00 PM,30.930000,LZ_NORTH
1/1/2019 7:00:00 PM,30.950000,LZ_RAYBN
1/1/2019 7:00:00 PM,29.480000,LZ_SOUTH
1/1/2019 7:00:00 PM,59.260000,LZ_WEST
1/1/2019 8:00:00 PM,28.120000,LZ_AEN
1/1/2019 8:00:00 PM,27.150000,LZ_CPS
1/1/2019 8:00:00 PM,27.670000,LZ_HOUSTON
1/1/2019 8:00:00 PM,27.430000,LZ_LCRA
1/1/2019 8:00:00 PM,29.010000,LZ_NORTH
1/1/2019 8:00:00 PM,29.050000,LZ_RAYBN
1/1/2019 8:00:00 PM,27.480000,LZ_SOUTH
1/1/2019 8:00:00 PM,56.160000,LZ_WEST
1/1/2019 9:00:00 PM,26.590000,LZ_AEN
1/1/2019 9:00:00 PM,25.600000,LZ_CPS
1/1/2019 9:00:00 PM,26.050000,LZ_HOUSTON
1/1/2019 9:00:00 PM,25.910000,LZ_LCRA
1/1/2019 9:00:00 PM,27.260000,LZ_NORTH
1/1/2019 9:00:00 PM,27.310000,LZ_RAYBN
1/1/2019 9:00:00 PM,26.120000,LZ_SOUTH
1/1/2019 9:00:00 PM,51.570000,LZ_WEST
1/1/2019 10:00:00 PM,24.870000,LZ_AEN
1/1/2019 10:00:00 PM,24.170000,LZ_CPS
1/1/2019 10:00:00 PM,24.310000,LZ_HOUSTON
1/1/2019 10:00:00 PM,24.440000,LZ_LCRA
1/1/2019 10:00:00 PM,25.440000,LZ_NORTH
1/1/2019 10:00:00 PM,25.480000,LZ_RAYBN
1/1/2019 10:00:00 PM,24.420000,LZ_SOUTH
1/1/2019 10:00:00 PM,45.460000,LZ_WEST
1/1/2019 11:00:00 PM,23.190000,LZ_AEN
1/1/2019 11:00:00 PM,22.320000,LZ_CPS
1/1/2019 11:00:00 PM,23.080000,LZ_HOUSTON
1/1/2019 11:00:00 PM,22.720000,LZ_LCRA
1/1/2019 11:00:00 PM,23.910000,LZ_NORTH
1/1/2019 11:00:00 PM,23.970000,LZ_RAYBN
1/1/2019 11:00:00 PM,22.490000,LZ_SOUTH
1/1/2019 11:00:00 PM,44.070000,LZ_WEST
1/2/2019 12:00:00 AM,22.910000,LZ_AEN
1/2/2019 12:00:00 AM,22.480000,LZ_CPS
1/2/2019 12:00:00 AM,22.810000,LZ_HOUSTON
